rubro,motivo,vulnerabilidad,mes_año_tratamiento,edad,genero,provincia_consumidor,provincia_id
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,58,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,57,Femenino,Buenos Aires,6
Inmuebles Inmuebles por accesión,Falta de entrega o demora en la posesión o escrituración del bien,Socio-económica,ene-21,39,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Discapacidad,ene-21,50,Femenino,Buenos Aires,6
Servicios financieros y seguros,Clausulas Abusivas - Art. 37 Ley 24.240,Socio-económica,ene-21,59,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,60,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,52,Masculino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,78,Femenino,Buenos Aires,6
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Discapacidad,ene-21,68,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Adulto/a mayor,ene-21,73,Femenino,Buenos Aires,6
Servicios financieros y seguros,Precios,Socio-económica,ene-21,56,Femenino,Río Negro,62
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,ene-21,27,Femenino,Buenos Aires,6
Servicios financieros y seguros,Precios,Socio-económica,ene-21,61,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de transporte aéreo,No observancia del derecho de arrepentimiento. Art 34 de la ley 24.240,Socio-económica,ene-21,40,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de transporte aéreo,No observancia del derecho de arrepentimiento. Art 34 de la ley 24.240,Socio-económica,ene-21,43,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de transporte aéreo,Clausulas Abusivas - Art. 37 Ley 24.240,Turista,ene-21,36,Femenino,Tucumán,90
Textil calzado y marroquinería,Problemas con la devolución del bien o el reembolso de sumas,Discapacidad,ene-21,50,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,ene-21,36,Femenino,Buenos Aires,6
Servicios de estacionamientos y guardamuebles,Prácticas Abusivas,Violencia de género,ene-21,61,Femenino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Socio-económica,ene-21,27,Masculino,Buenos Aires,6
Servicios públicos domiciliarios,Incumplimiento total de la prestación del servicio,Socio-económica,ene-21,59,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,ene-21,71,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Prácticas Abusivas,Adulto/a mayor,ene-21,43,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,32,Femenino,Río Negro,62
Servicio de administración de pagos,Pago o cobro equivocado,Discapacidad,ene-21,60,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,87,Femenino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,70,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,NNyA,ene-21,38,Masculino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,70,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios y eventos de esparcimiento culturales y/o deportivos,Prácticas Abusivas,LGTB+,ene-21,24,Masculino,Mendoza,50
Alimentos y bebidas,Falta de Información relevante. Art 4 de la Ley 24.240,Socio-económica,ene-21,60,Femenino,Buenos Aires,6
Servicios de transporte terrestre de pasajeros y cargas,Incumplimiento total de la prestación del servicio contratado,NNyA,ene-21,32,Masculino,Buenos Aires,6
Servicios financieros y seguros,Falta de procesamiento de baja del servicio,Socio-económica,ene-21,72,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,79,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Incumplimiento total de la prestación del servicio contratado,Turista,ene-21,59,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,ene-21,68,Femenino,Buenos Aires,6
Servicios financieros y seguros,Precios,Adulto/a mayor,ene-21,76,Masculino,Buenos Aires,6
Equipos de telefonía,Garantía de Bienes. Art 11 Ley 24.240,Socio-económica,ene-21,56,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,ene-21,69,Femenino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,ene-21,36,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Barrios populares,ene-21,39,Femenino,Buenos Aires,6
Servicios financieros y seguros,Prácticas Abusivas,Socio-económica,ene-21,37,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,ene-21,37,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,ene-21,42,Masculino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Discapacidad,ene-21,44,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,feb-21,55,Femenino,Buenos Aires,6
Rodados automotores y embarcaciones,Incumplimiento de Oferta Promociones y/o Bonificaciones. Art. 7 de la Ley 24.240,Socio-económica,ene-21,84,Femenino,Tucumán,90
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,30,Femenino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,ene-21,51,Femenino,San Juan,70
Servicios y eventos de esparcimiento culturales y/o deportivos,Prácticas Abusivas,Socio-económica,ene-21,19,Femenino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Socio-económica,ene-21,83,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Falta de procesamiento de baja del servicio,Socio-económica,ene-21,79,Masculino,Buenos Aires,6
Servicios turísticos,Incumplimiento total de la prestación del servicio contratado,Socio-económica,ene-21,47,Masculino,Buenos Aires,6
Muebles,Falta de Entrega del bien,Discapacidad,feb-21,70,Femenino,Neuquén,58
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,62,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Barrios populares,ene-21,55,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Cumplimiento parcial o defectuoso de la prestación médica o de cobertura de la medicación prescripta,Discapacidad,ene-21,48,Masculino,Buenos Aires,6
Servicios de comunicaciones,Facturación excesiva/ facturación cargos no convenidos,Socio-económica,ene-21,51,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Falta de procesamiento de baja del servicio,NNyA,ene-21,43,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Prácticas Abusivas,Socio-económica,ene-21,49,Femenino,Tucumán,90
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Discapacidad,ene-21,54,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,61,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,40,Masculino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Clausulas Abusivas - Art. 37 Ley 24.240,Adulto/a mayor,ene-21,72,Masculino,Córdoba,14
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,34,Femenino,Buenos Aires,6
Servicios de construcción para el hogar y comercialización de inmuebles,Problemas de fraude o estafa,Discapacidad,ene-21,87,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,23,Masculino,Buenos Aires,6
Equipos de telefonía,Problemas con la devolución del bien o el reembolso de sumas,Socio-económica,ene-21,36,Femenino,La Pampa,42
Servicio de administración de pagos,Incumplimiento total de la prestación del servicio contratado,Socio-económica,ene-21,23,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,72,Masculino,Catamarca,10
Servicios públicos domiciliarios,Clausulas Abusivas - Art. 37 Ley 24.240,Socio-económica,ene-21,59,Masculino,Salta,66
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,ene-21,30,Femenino,Buenos Aires,6
Servicios de comunicaciones,Problemas de fraude o estafa,Socio-económica,ene-21,34,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,66,Masculino,Buenos Aires,6
Informática,Prácticas Abusivas,Socio-económica,ene-21,73,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,33,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,66,Femenino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,ene-21,80,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Falta de procesamiento de baja del servicio,Socio-económica,ene-21,32,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Cumplimiento parcial o defectuoso de la prestación médica o de cobertura de la medicación prescripta,Salud,ene-21,60,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,ene-21,36,Femenino,Buenos Aires,6
Servicios de Salud,Cumplimiento parcial o defectuoso de la prestación médica o de cobertura de la medicación prescripta,NNyA,ene-21,39,Femenino,Tucumán,90
Electrodomésticos y artefactos para el hogar,Falta de Entrega del bien,Adulto/a mayor,ene-21,72,Femenino,Buenos Aires,6
Servicios de transporte terrestre de pasajeros y cargas,Incumplimiento total de la prestación del servicio contratado,Socio-económica,ene-21,66,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Precios,Socio-económica,ene-21,27,Femenino,Tucumán,90
Colchonerías,Garantía de Bienes. Art 11 Ley 24.240,Discapacidad,ene-21,58,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Falta de procesamiento de baja del servicio,Salud,ene-21,44,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,ene-21,61,Femenino,Buenos Aires,6
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Socio-económica,ene-21,69,Masculino,Buenos Aires,6
Servicios financieros y seguros,Prácticas Abusivas,Adulto/a mayor,ene-21,76,Femenino,Ciudad Autónoma de Buenos Aires,2
Electrodomésticos y artefactos para el hogar,Falta de Entrega del bien,Socio-económica,ene-21,30,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Ruralidad,ene-21,63,Masculino,Buenos Aires,6
Servicios financieros y seguros,Incumplimiento total de la prestación del servicio contratado,Socio-económica,ene-21,56,Masculino,Ciudad Autónoma de Buenos Aires,2
Electrodomésticos y artefactos para el hogar,Prácticas Abusivas,Violencia de género,ene-21,41,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,44,Femenino,Ciudad Autónoma de Buenos Aires,2
Equipos de telefonía,Problemas con la devolución del bien o el reembolso de sumas,Socio-económica,ene-21,50,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,43,Femenino,Buenos Aires,6
Servicios de comunicaciones,Falta de Información relevante. Art 4 de la Ley 24.240,LGTB+,ene-21,31,Masculino,Buenos Aires,6
Servicios financieros y seguros,Información Indebida a Banco de Datos de Riesgo Crediticio,Socio-económica,ene-21,43,Femenino,Ciudad Autónoma de Buenos Aires,2
Deportes y recreación,Garantía de Bienes. Art 11 Ley 24.240,Socio-económica,ene-21,44,Femenino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Entrega Defectuosa,Adulto/a mayor,ene-21,75,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios y eventos de esparcimiento culturales y/o deportivos,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,33,Femenino,Ciudad Autónoma de Buenos Aires,2
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Discapacidad,ene-21,56,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Discapacidad,ene-21,51,Masculino,Jujuy,38
Electrodomésticos y artefactos para el hogar,Problemas con la devolución del bien o el reembolso de sumas,Adulto/a mayor,ene-21,82,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Socio-económica,ene-21,47,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,90,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,ene-21,50,Masculino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,77,Femenino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,71,Femenino,Chubut,26
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,ene-21,42,Masculino,Tucumán,90
Textil calzado y marroquinería,Garantía de Bienes. Art 11 Ley 24.240,Socio-económica,ene-21,24,Femenino,Jujuy,38
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,42,Masculino,Misiones,54
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Barrios populares,ene-21,34,Masculino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,63,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,ene-21,46,Masculino,Buenos Aires,6
Servicios turísticos,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,feb-21,54,Femenino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Entrega Defectuosa,Adulto/a mayor,ene-21,72,Femenino,Ciudad Autónoma de Buenos Aires,2
