Numero_OC,Proveedor,Partida_Presupuestal,Descripcion_de_la_Partida_ Presupuestal,Concepto,Cantidad_Ordenada,UM, Monto_Total_Sin_IVA ,Fundamentacion_legal
22L0007,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE ARI$10.00,650000,KG,156093847.00,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0007,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ALP NUC$10.00,100000,KG,20981966.81,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0007,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,"LAMINA CMM BCE. AR. $ 20.00, 2.35 X 140.2 MM.",220000,KG,52831763.60,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0007,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,"LAMINA CMM ALP NUC $ 20.00, 2.35 X 216 MM",320000,KG,76846201.60,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0008,OUTOKUMPU MEXINOX S.A DE C.V.,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO 50 CVS,150000,KG,9272258.61,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0009,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE NUC $1.00,92000,KG,21800144.97,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0010,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE NUC $2.00,80000,KG,17791100.52,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0011,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO 50 CVS,410600,KG,28530871.94,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0011,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$1.00,44900,KG,3119912.69,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0011,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$5.00,82000,KG,5697836.09,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0012,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO 50 CVS,284200,KG,19747866.07,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0012,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$1.00,570600,KG,39648600.90,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0012,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$2.00,223500,KG,15530077.64,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0012,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$5.00,334200,KG,23222156.37,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0013,OMEGA ALEACIONES S.A. DE C.V,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ALP NUC$10.00,405,KG,192859.81,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0013,OMEGA ALEACIONES S.A. DE C.V,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,"LAMINA CMM ALP NUC $ 20.00, 2.35 X 216 MM",303,KG,144287.71,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0014,OMEGA ALEACIONES S.A. DE C.V,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ALP NUC$10.00,22609,KG,5830698.03,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0015,OUTOKUMPU MEXINOX S.A DE C.V.,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO 50 CVS,419200,KG,23226249.29,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0015,OUTOKUMPU MEXINOX S.A DE C.V.,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$1.00,1050000,KG,58176435.48,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0015,OUTOKUMPU MEXINOX S.A DE C.V.,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$2.00,832000,KG,46097899.35,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0015,OUTOKUMPU MEXINOX S.A DE C.V.,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$5.00,1230300,KG,68166160.55,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0016,PV METALS LLC,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE NUC $1.00,338000,KG,71095790.56,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0016,PV METALS LLC,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE NUC $2.00,179000,KG,37651321.04,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0016,PV METALS LLC,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE NUC $5.00,210000,KG,44171940.88,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0016,PV METALS LLC,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE ARI$10.00,479000,KG,100754093.72,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0016,PV METALS LLC,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ALP NUC$10.00,153000,KG,34607861.03,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0016,PV METALS LLC,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,"LAMINA CMM BCE. AR. $ 20.00, 2.35 X 140.2 MM.",274000,KG,57633865.72,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0016,PV METALS LLC,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,"LAMINA CMM ALP NUC $ 20.00, 2.35 X 216 MM",71000,KG,16059857.08,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0017,PV METALS LLC,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ALP NUC$10.00,100000,KG,22619517.01,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0017,PV METALS LLC,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,"LAMINA CMM ALP NUC $ 20.00, 2.35 X 216 MM",321000,KG,72608649.61,ADJUDICACION DIRECTA-ART 41 FRACC XII
22J0001,"GRUPO NACIONAL PROVINCIAL, SAB DE CV",34501,Seguros de bienes patrimoniales,ASEGURAMIENTO DE BIENES MUEBLES E INMUEBLES / DINERO Y VALORES PROPIEDAD DE CMM ,1,SR,29237209.20,LICITACION PUBLICA
22J0002,ESTRATEC S.A. DE C.V.,33602,Otros servicios comerciales,SERVICIO DE COPIADORAS EN INSTALACIONES DE CMM,1,SR,70000.00,ADJUDICACION DIRECTA-ART 42
22J0003,CASANOVA VALLEJO S.A. DE C.V.,32503,"Arrendamiento de vehiculos terrestres, aereos, maritimos, para servicios administrativos",ARRENDAMIENTO DE CAMION 20 TON (2022),1,SR,396000.00,ADJUDICACION DIRECTA-ART 42
22J0004,MACRO CLIM SA DE CV,35801,"Servicios de lavanderia, limpieza e higiene",SERVICIO DE LIMPIEZA EN INSTALACIONES DE CASA DE MONEDA DE MêXICO.,1,SR,6389346.00,INVITACION A CUANDO MENOS 3 PERSONAS-ART 41 FRACC XX (CONTRATO MARCO)
22J0005,EXCELENCIA EN TRANSPORTE ESCOLAR Y DE PERSONAL SAPI de CV,31902,Contratacion de otros servicios,SERVICIO DE TRANSPORTE PARA PERSONAL DE CASA DE MONEDA DE MêXICO,1,SR,17723520.00,LICITACION PUBLICA
22J0006,ARGENTINA DEL ROSARIO DOVALI TORRES,35701,Mantenimiento y conservacion de maquinaria y equipo,SERVICIO DE MANTENIMIENTO A LOS EQUIPOS DE AIRES ACONDICIONADOS UBICADOS EN LAS INSTALACIONES DE LAS PLANTAS PRODUCTIVAS SLP,1,SR,688000.00,INVITACION A CUANDO MENOS 3 PERSONAS
22J0007,"SERVICIOS INDUSTRIALES DE MANTENIMIENTO CM&M, S.A. DE C.V.",35801,"Servicios de lavanderia, limpieza e higiene","SERVICIO DE SANITIZACION EN LOS INMUEBLES QUE OCUPAN LAS OFICINAS CORPORATIVAS REFORMA, MUSEO NUMISMATICO NACIONAL, PLANTA SAN LUIS, TIENDA REFORMA.",1,SR,955431.10,INVITACION A CUANDO MENOS 3 PERSONAS
22J0008,TISA TELECOMUNICACIONES E INGENIERIAEN SERV. AUTOMATIZADOS S DE RL DE CV,35701,Mantenimiento y conservacion de maquinaria y equipo,SERVICIO DE MANTENIMIENTO DE AIRES ACONDICIONADOS EN LAS OFICINAS CORPORATIVAS Y MNN,1,SR,362705.10,ADJUDICACION DIRECTA-ART 42
22J0009,CORPORATIVO DE SERVICIOS URBANOS S.A,35901,Servicios de jardineria y fumigacion,SERVICIO DE MANTENIMIENTO Y JARDNERIA PARA PLANTA SLP Y ANEXO,1,SR,1277316.00,INVITACION A CUANDO MENOS 3 PERSONAS-ART 41 FRACC XX (CONTRATO MARCO)
22J0010,"DANIELLI FOOD SERVICE, S.A. DE C.V.",22104,Productos alimenticios para el personal en las instalaciones de las dependencia,SERVICIO DE COMEDOR PARA PERSONAL DE CASA DE MONEDA DE MêXICO,1,SR,21268800.00,LICITACION PUBLICA
22J0011,"AGUA TRATADA DEL POTOSI, S.A . DE C.",31301,Servicio de agua,SERVICIO DE SUMINISTRO DE AGUA RESIDUAL TRATADA EN PLANTA PRODUCTIVA,1,SR,590000.00,ADJUDICACION DIRECTA-ART 42
22J0012,"PROFESIONALES EN SERVICIOS DE CONTROL Y MANEJO DE PLAGAS, S. DE R.L. DE C.V.,",35901,Servicios de jardineria y fumigacion,SERVICIO DE FUMIGACION,1,SR,231140.70,ADJUDICACION DIRECTA-ART 41 FRACC XX (CONTRATO MARCO)
22J0013,"MêXICO RED DE TELECOMUNICACIONES, S. DE R.L. DE C.V.",33903,Servicios integrales,SERVICIO INTEGRADOS DE MPLS E INTERNET,1,SR,930600.00,ADJUDICACION DIRECTA-ART 41 FRACC V
22J0014,GLOBAL VOIP DE MEXICO S.A. DE C.V. AV. CONSTITUYENTES #195,33903,Servicios integrales,SERVICIO DE CENTRO DE DATOS,1,SR,6008398.92,ADJUDICACION DIRECTA-ART 41 FRACC V
22J0015,"NAC SOLUCIONES INTEGRALES, SPAFNUNCIO PADILLA NO. 26-3 B",33903,Servicios integrales,"SERVICIO DE TELECOMUNICACIONES, VIDEOCONFERENCIA",1,SR,7676118.00,ADJUDICACION DIRECTA-ART 41 FRACC V
22J0016,SOLUCIONES TECNOLOGICAS ESPECIALIZAD,33903,Servicios integrales,SERVICIO DE COMPUTO IMPRESION Y DIGITALIZACION,1,SR,4783963.32,ADJUDICACION DIRECTA-ART 41 FRACC V
22J0017,INTER PRICE LOGISTICA SA DE,35701,Mantenimiento y conservacion de maquinaria y equipo,SERVICIO DE MANTENIMIENTO A MOTACARGAS,1,SR,504000.00,ADJUDICACION DIRECTA-ART 42
22J0018,RECURSOS SITEMAS Y CONOCIMIENTOS.A. DE C.V.,33304,Serv manto de aplicaciones inform†ticas,SERVIVIO DE SOPORTE A MESA DE AYUDA DEL SISTEMA MAXIMO,1,SR,1589000.00,INVITACION A CUANDO MENOS 3 PERSONAS
22B0001,MEJIA RAUDRY HUGO,21101,Materiales y utiles de oficina,SELLO DE GOMA DIFERENTES LEYENDAS AUTOENTINTABLE,1,PZ,485.00,ADJUDICACION DIRECTA-ART 42
22B0001,MEJIA RAUDRY HUGO,21101,Materiales y utiles de oficina,TINTA PARA SELLO AUTO ENTINTABLE COLOR NEGRO,5,PZ,750.00,ADJUDICACION DIRECTA-ART 42
22B0002,AIDITEC S.A. DE C.V.,21101,Materiales y utiles de oficina,ETIQUETA EN MATERIALADHERIBLE REMOVIBLE,10,RL,3990.00,ADJUDICACION DIRECTA-ART 42
22B0003,"FERRESUIN, S.A. DE C.V.",21101,Materiales y utiles de oficina,BOLSA DE PLASTICO DE 60X 90 CM. TRANSPARENTE CA,50,KG,3995.00,ADJUDICACION DIRECTA-ART 42
22B0003,"FERRESUIN, S.A. DE C.V.",21101,Materiales y utiles de oficina,BOLSA DE PLASTICO DE 15X 25 CMS.,5,KG,399.50,ADJUDICACION DIRECTA-ART 42
22B0003,"FERRESUIN, S.A. DE C.V.",21101,Materiales y utiles de oficina,BOLSA DE POLIETILENO CONCIERRE A PRESION 4X6,1,ML,2320.00,ADJUDICACION DIRECTA-ART 42
22B0003,"FERRESUIN, S.A. DE C.V.",21101,Materiales y utiles de oficina,BOLSA DE PLASTICO TRANSPARENTE DE 76X50 CM. X 0.,50,KG,3995.00,ADJUDICACION DIRECTA-ART 42
22B0004,EMPRESA COMERCIALIZADORA MATTROD S.A. DE C.V.,22104,Productos alimenticios para el personal en las instalaciones de las dependencia,ENDULZANTE SPLENDA CAJACON 100 SOBRES,10,CJ,868.90,ADJUDICACION DIRECTA-ART 42
22B0005,"MERCADER DISTRIBUCIONES, S.A DE C.V.",22104,Productos alimenticios para el personal en las instalaciones de las dependencia,GALLETAS SURTIDO RICO,30,CJ,1338.00,ADJUDICACION DIRECTA-ART 42
22B0006,"MERCADER DISTRIBUCIONES, S.A DE C.V.",22104,Productos alimenticios para el personal en las instalaciones de las dependencia,CAFE MOLIDOPARA CAFETERA,10,KG,2480.00,ADJUDICACION DIRECTA-ART 42
22B0006,"MERCADER DISTRIBUCIONES, S.A DE C.V.",22104,Productos alimenticios para el personal en las instalaciones de las dependencia,CAFE SOLUBLE (NESCAFE FCO. DE 200 GMS.),20,PZ,1950.80,ADJUDICACION DIRECTA-ART 42
22B0006,"MERCADER DISTRIBUCIONES, S.A DE C.V.",22104,Productos alimenticios para el personal en las instalaciones de las dependencia,COFFE MATE (SOBRES IND)CAJA CON 200 PZAS.,10,CJ,1251.40,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,CARPETA T/CARTA COLOR AZUL CON BROCHE Y CEJA.,220,PZ,2332.00,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,PORTAGAFET TRANSPARENTECON CORDON.,150,PZ,3975.00,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,CHAROLA DE ACRILICO DE 3NIVELES PARA ESCRITORIO,3,PZ,1012.83,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,FOLIADOR DE 6 DIGITOS,5,PZ,1358.00,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,GOMA BLANCA WS-20 P/DIBUJO,20,PZ,117.40,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,REGISTRADOR LEFORT VERDEDE CARTON T/CARTA,60,PZ,2820.60,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,CINTA DIUREX TRANSPARENT1/2 ANCHO X 65 MTS. LGT,20,PZ,1007.80,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,CLIPS STANDARDNO. 1 (C/100 PZAS.),40,CJ,403.20,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,CORRECTOR LIQUIDO DILUIBLE EN AGUA (18 MLTS.),12,PZ,144.00,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,DIARIO DE 2 MANOS FORMAFRANCESA,20,PZ,658.40,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,LIGAS DE HULE NATURAL,10,CJ,200.00,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,MARCA TEXTOS O MARCADOR ALERTA,24,PZ,192.00,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,MARCADOR DE TINTA PERMANENTE (NEGRO),240,PZ,5848.80,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,MICAS T/CARTA PERFORADAS,500,PZ,785.00,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,MICA AUTOADHERIBLE DE102 CM. DE ANCHO X 50 MT,1,PZ,2000.00,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,CARPETA DE 3 ARGOLLAS T/CARTA DE 1 COLOR BLANCO,20,PZ,1205.00,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,CARPETA DE 3 ARGOLLAS T/CARTA DE 2 COLOR BLANCO,12,PZ,937.20,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,LIGA DE HULE No. 9  C/100 PZAS.,5,PZ,100.00,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,PEGAMENTO SOLIDO DE 40GMS. (PRITT,15,PZ,634.20,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,BANDERITAS POST ITVARIOS MODELOS,20,PQ,1160.00,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,POST-IT CUBO C/4 COLORES(75X75 MM.),15,PZ,548.70,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,DESPACHADOR DE CINTAADHESIVA. DE 1 DE ANCHO,3,PZ,210.45,ADJUDICACION DIRECTA-ART 42
22B0007,COMERCIALIZADORA Y PAPELERIA JFM,21101,Materiales y utiles de oficina,LAPIZ BICOLOR,120,PZ,860.40,ADJUDICACION DIRECTA-ART 42
22B0008,PRESSENSYSTEME SCHULER-MEXIKO S.A. DE C.V.,29801,Refacciones y accesorios menores de maquinaria y otros equipos,MUELLE DE PRESION REF.48IDENT. 90-037.213 MRV150,50,PZ,21730.82,ADJUDICACION DIRECTA-ART 42
22B0008,PRESSENSYSTEME SCHULER-MEXIKO S.A. DE C.V.,29801,Refacciones y accesorios menores de maquinaria y otros equipos,MUELLE DE PRESIONMRV-200 ID.89-350.063,50,PZ,20311.37,ADJUDICACION DIRECTA-ART 42
22B0009,SERVICIOS INDUSTRIALES VIKANAT SA DE,25101,Productos quimicos basicos,AGUA PARA BATERIA,500,LT,21100.00,ADJUDICACION DIRECTA-ART 42
22B0010,MEJIA RAUDRY HUGO,21101,Materiales y utiles de oficina,SELLO DE GOMA DIFERENTES LEYENDAS AUTOENTINTABL,1,PZ,485.00,ADJUDICACION DIRECTA-ART 42
22B0011,PROPERMEX S.A. DE C.V.,21601,Material de limpieza,"CARTUCHO DE 1200 ml, GEL SANITIZANTE PURELL",80,PZ,41847.20,ADJUDICACION DIRECTA-ART 42
22B0011,PROPERMEX S.A. DE C.V.,21601,Material de limpieza,CARTUCHO DE 5000 ML JABON DESENGRASANTE ORANGE,10,PZ,4857.80,ADJUDICACION DIRECTA-ART 42
22B0012,SERVICIOS INDUSTRIALES VIKANAT SA DE,29101,Herramientas menores,CORTADOR DE FLEJE PARA3/4 A 1/4 MIP-2300,1,PZ,8235.00,ADJUDICACION DIRECTA-ART 42
22b0013,TORRES BRITO ROBERTO CARLOS .,22201,Productos alimenticios para animales,ALIMENTO PARA PERRO ADULTO  (NUPEC BULTO.20 KG),32,PZ,44689.92,ADJUDICACION DIRECTA-ART 42
22B0014,PROPERMEX S.A. DE C.V.,25301,Medicinas y productos farmaceuticos,SOLUCION HAND MEDIC HIDRATANTE DE 685 ML.,40,PZ,13117.20,ADJUDICACION DIRECTA-ART 42
22B0015,EMPRESA COMERCIALIZADORA MATTROD S.A. DE C.V.,24601,Materialelectrico y electronico,TABLERO TRIFASICO SQUARED NQ184L10014S DE 18 INT,1,PZ,11573.56,ADJUDICACION DIRECTA-ART 42
22B0015,EMPRESA COMERCIALIZADORA MATTROD S.A. DE C.V.,24601,Materialelectrico y electronico,INTERRUPTOR TERMOMAGNETICO 3 POLOS 15 AMP. QO315,3,PZ,6805.50,ADJUDICACION DIRECTA-ART 42
22B0016,EMPRESA COMERCIALIZADORA MATTROD S.A. DE C.V.,24601,Materialelectrico y electronico,TUBO CONDUIT P/GRUESA DE3/4 X 3 MTS.,13,PZ,3531.19,ADJUDICACION DIRECTA-ART 42
22B0016,EMPRESA COMERCIALIZADORA MATTROD S.A. DE C.V.,24601,Materialelectrico y electronico,CAJA SERIE RECTANGULARDE 3/4 CAT. FS-2,6,PZ,496.20,ADJUDICACION DIRECTA-ART 42
22B0016,EMPRESA COMERCIALIZADORA MATTROD S.A. DE C.V.,24601,Materialelectrico y electronico,CABLE THW CAL. 12 AGW,1100,MT,22605.00,ADJUDICACION DIRECTA-ART 42
22B0017,DISIND SERBAINCO S.A. DE C.V.,29801,Refacciones y accesorios menores de maquinaria y otros equipos,BALERO 6314 ZZ C3 HT,4,PZ,7092.00,ADJUDICACION DIRECTA-ART 42
22B0017,DISIND SERBAINCO S.A. DE C.V.,29801,Refacciones y accesorios menores de maquinaria y otros equipos,RETEN 60 x 90 x 8,2,PZ,164.00,ADJUDICACION DIRECTA-ART 42
